date,finbert
2020-06-23,0.06083584694696176
2020-06-24,0.0046974329193632805
2020-06-25,0.060149860287469534
2020-06-26,0.009734482975567086
2020-06-27,0.07067982366551524
2020-06-28,0.00381493697195877
2020-06-29,0.038909672463641444
2020-07-01,0.05129486124321053
2020-07-02,0.09823418966254348
2020-07-03,0.11685910391807557
2020-07-04,0.08734265084450062
2020-07-05,0.07032557836798733
2020-07-06,0.057641691458029824
2020-07-07,0.031391639835559405
2020-07-08,0.07577850836973923
2020-07-09,0.11043436154009054
2020-07-10,0.05669478083601092
2020-07-11,0.04903817796087884
2020-07-12,0.06773565529466985
2020-07-13,0.06494258794097689
2020-07-14,0.028016739622664058
2020-07-15,0.07564092570162834
2020-07-16,0.009051500636840536
2020-07-17,0.057590762386098504
2020-07-18,0.043984261842874385
